X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOUR,ObjectId,VEHICLE_STREET
-8836510.678,5411025.217,80502715,6000477912,2016,2016/03/20 04:00:00+00,303,3,BAY ST,WELLINGTON ST W,<Null>,Major Arterial,Toronto and East York,"10,13",52,43.647319,-79.379726,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,unknown,Minimal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D52,76,Bay Street Corridor (76),12011,76
-8818027.301,5437296.722,80566288,6001348693,2016,2016/08/01 04:00:00+00,156,1,MORNINGSIDE AVE,HALFWAY AVE,15 m East of,Minor Arterial,Scarborough,25,42,43.817847,-79.213687,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,Passenger,15 to 19,Minimal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D42,131,Rouge (131),12012,131
-8843944.593,5421536.365,80543470,6000963645,2016,2016/06/03 04:00:00+00,1430,14,LAWRENCE AVE W,MARLEE AVE,<Null>,Major Arterial,North York,8,"32,13",43.715605,-79.446506,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Truck Driver,20 to 24,Minimal,<Null>,East,Tow Truck,Going Ahead,Following too Close,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),12013,31
-8843944.593,5421536.365,80543471,6000963645,2016,2016/06/03 04:00:00+00,1430,14,LAWRENCE AVE W,MARLEE AVE,<Null>,Major Arterial,North York,8,"32,13",43.715605,-79.446506,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,60 to 64,None,<Null>,East,"Automobile, Station Wagon",Slowing or Stopping,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),12014,31
-8843944.593,5421536.365,80543472,6000963645,2016,2016/06/03 04:00:00+00,1430,14,LAWRENCE AVE W,MARLEE AVE,<Null>,Major Arterial,North York,8,"32,13",43.715605,-79.446506,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,65 to 69,None,<Null>,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),12015,31
-8843944.593,5421536.365,80543473,6000963645,2016,2016/06/03 04:00:00+00,1430,14,LAWRENCE AVE W,MARLEE AVE,<Null>,Major Arterial,North York,8,"32,13",43.715605,-79.446506,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,60 to 64,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),12017,31
-8843944.593,5421536.365,80543474,6000963645,2016,2016/06/03 04:00:00+00,1430,14,LAWRENCE AVE W,MARLEE AVE,<Null>,Major Arterial,North York,8,"32,13",43.715605,-79.446506,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,60 to 64,Minor,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),12018,31
-8843944.593,5421536.365,80543475,6000963645,2016,2016/06/03 04:00:00+00,1430,14,LAWRENCE AVE W,MARLEE AVE,<Null>,Major Arterial,North York,8,"32,13",43.715605,-79.446506,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,55 to 59,Major,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),12019,31
-8843944.593,5421536.365,80543476,6000963645,2016,2016/06/03 04:00:00+00,1430,14,LAWRENCE AVE W,MARLEE AVE,<Null>,Major Arterial,North York,8,"32,13",43.715605,-79.446506,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,60 to 64,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),12020,31
-8843944.593,5421536.365,80543477,6000963645,2016,2016/06/03 04:00:00+00,1430,14,LAWRENCE AVE W,MARLEE AVE,<Null>,Major Arterial,North York,8,"32,13",43.715605,-79.446506,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,65 to 69,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D13,31,Yorkdale-Glen Park (31),12021,31
-8856576.238,5410866.147,80543511,6000966179,2016,2016/06/03 04:00:00+00,2131,21,BURNHAMTHORPE RD,THE EAST MALL,<Null>,Major Arterial,Etobicoke York,2,22,43.646285,-79.559978,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,60 to 64,None,<Null>,South,"Automobile, Station Wagon",Turning Right,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D22,14,Islington-City Centre West (14),12022,14
-8856576.238,5410866.147,80543512,6000966179,2016,2016/06/03 04:00:00+00,2131,21,BURNHAMTHORPE RD,THE EAST MALL,<Null>,Major Arterial,Etobicoke York,2,22,43.646285,-79.559978,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,55 to 59,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D22,14,Islington-City Centre West (14),12023,14
-8856576.238,5410866.147,80543513,6000966179,2016,2016/06/03 04:00:00+00,2131,21,BURNHAMTHORPE RD,THE EAST MALL,<Null>,Major Arterial,Etobicoke York,2,22,43.646285,-79.559978,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,40 to 44,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D22,14,Islington-City Centre West (14),12024,14
-8856576.238,5410866.147,80543514,6000966179,2016,2016/06/03 04:00:00+00,2131,21,BURNHAMTHORPE RD,THE EAST MALL,<Null>,Major Arterial,Etobicoke York,2,22,43.646285,-79.559978,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,60 to 64,Minor,<Null>,East,<Null>,<Null>,<Null>,<Null>,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D22,14,Islington-City Centre West (14),12025,14
-8856576.238,5410866.147,80543515,6000966179,2016,2016/06/03 04:00:00+00,2131,21,BURNHAMTHORPE RD,THE EAST MALL,<Null>,Major Arterial,Etobicoke York,2,22,43.646285,-79.559978,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,55 to 59,Major,<Null>,East,<Null>,<Null>,<Null>,<Null>,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D22,14,Islington-City Centre West (14),12026,14
-8828064.311,5425492.497,80543542,6000970728,2016,2016/06/04 04:00:00+00,1525,15,PHARMACY AVE,JANET BLVD,37 m South of,Minor Arterial,Scarborough,21,41,43.741286,-79.303851,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D41,119,Wexford/Maryvale (119),12027,119
-8828064.311,5425492.497,80543543,6000970728,2016,2016/06/04 04:00:00+00,1525,15,PHARMACY AVE,JANET BLVD,37 m South of,Minor Arterial,Scarborough,21,41,43.741286,-79.303851,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,<Null>,East,<Null>,<Null>,<Null>,<Null>,Pedestrian hit at mid-block,Running onto Roadway,Inattentive,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D41,119,Wexford/Maryvale (119),12028,119
-8849667.974,5404100.516,80543552,6000971668,2016,2016/06/04 04:00:00+00,1822,18,LAKE SHORE BLVD W,DWIGHT AVE,<Null>,Major Arterial,Etobicoke York,3,22,43.60229,-79.49792,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,None,<Null>,South,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),12029,18
-8849667.974,5404100.516,80543553,6000971668,2016,2016/06/04 04:00:00+00,1822,18,LAKE SHORE BLVD W,DWIGHT AVE,<Null>,Major Arterial,Etobicoke York,3,22,43.60229,-79.49792,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,40 to 44,None,<Null>,West,Motorcycle,Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),12030,18
-8849667.974,5404100.516,80543554,6000971668,2016,2016/06/04 04:00:00+00,1822,18,LAKE SHORE BLVD W,DWIGHT AVE,<Null>,Major Arterial,Etobicoke York,3,22,43.60229,-79.49792,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,30 to 34,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),12031,18
-8849667.974,5404100.516,80543555,6000971668,2016,2016/06/04 04:00:00+00,1822,18,LAKE SHORE BLVD W,DWIGHT AVE,<Null>,Major Arterial,Etobicoke York,3,22,43.60229,-79.49792,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,25 to 29,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),12032,18
-8849667.974,5404100.516,80543556,6000971668,2016,2016/06/04 04:00:00+00,1822,18,LAKE SHORE BLVD W,DWIGHT AVE,<Null>,Major Arterial,Etobicoke York,3,22,43.60229,-79.49792,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Passenger,unknown,Major,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),12033,18
-8836921.669,5410678.928,80564997,6000978198,2016,2016/06/05 04:00:00+00,1937,19,UNIVERSITY AVE,FRONT ST W,9 m South of,Minor Arterial,Toronto and East York,10,52,43.645068,-79.383418,Intersection,Non Intersection,Stop Sign,Clear,"Dusk, artificial",Wet,Non-Fatal Injury,Rear End,Motorcycle Driver,25 to 29,Major,<Null>,South,Motorcycle,Going Ahead,Following too Close,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D52,77,Waterfront Communities-The Island (77),12034,77
-8836921.669,5410678.928,80564998,6000978198,2016,2016/06/05 04:00:00+00,1937,19,UNIVERSITY AVE,FRONT ST W,9 m South of,Minor Arterial,Toronto and East York,10,52,43.645068,-79.383418,Intersection,Non Intersection,Stop Sign,Clear,"Dusk, artificial",Wet,Non-Fatal Injury,Rear End,Driver,55 to 59,None,<Null>,South,"Automobile, Station Wagon",Slowing or Stopping,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D52,77,Waterfront Communities-The Island (77),12035,77
-8824065.047,5424091.382,80545821,6000983076,2016,2016/06/06 04:00:00+00,1435,14,KENNEDY RD,EGLINTON AVE E,<Null>,Major Arterial,Scarborough,"21,20",41,43.732192,-79.267925,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Passenger,65 to 69,Fatal,44,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D41,124,Kennedy Park (124),12036,124
-8824065.047,5424091.382,80545823,6000983076,2016,2016/06/06 04:00:00+00,1435,14,KENNEDY RD,EGLINTON AVE E,<Null>,Major Arterial,Scarborough,"21,20",41,43.732192,-79.267925,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Driver,50 to 54,Minor,<Null>,East,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D41,124,Kennedy Park (124),12037,124
-8824065.047,5424091.382,80545825,6000983076,2016,2016/06/06 04:00:00+00,1435,14,KENNEDY RD,EGLINTON AVE E,<Null>,Major Arterial,Scarborough,"21,20",41,43.732192,-79.267925,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Driver,55 to 59,None,<Null>,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D41,124,Kennedy Park (124),12038,124
-8824065.047,5424091.382,80545826,6000983076,2016,2016/06/06 04:00:00+00,1435,14,KENNEDY RD,EGLINTON AVE E,<Null>,Major Arterial,Scarborough,"21,20",41,43.732192,-79.267925,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Passenger,50 to 54,Minor,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D41,124,Kennedy Park (124),12039,124
-8824065.047,5424091.382,80545827,6000983076,2016,2016/06/06 04:00:00+00,1435,14,KENNEDY RD,EGLINTON AVE E,<Null>,Major Arterial,Scarborough,"21,20",41,43.732192,-79.267925,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Passenger,50 to 54,Minimal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D41,124,Kennedy Park (124),12040,124
-8834452.826,5416750.482,80565024,6000995123,2016,2016/06/08 04:00:00+00,1048,10,DON VALLEY PARKWAY  N,BAYVIEW BLOOR DVP N RAMP,120 m South of,<Null>,Toronto and East York,14,54,43.684523,-79.36124,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Motorcycle Driver,25 to 29,Major,<Null>,North,Motorcycle,Going Ahead,Lost control,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D54,57,Broadview North (57),12041,57
-8837686.1,5411106.138,80562726,6001000870,2016,2016/06/09 04:00:00+00,837,8,ADELAIDE ST W,JOHN ST,<Null>,Major Arterial,Toronto and East York,10,52,43.647845,-79.390285,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,50 to 54,None,<Null>,East,"Automobile, Station Wagon",Turning Right,Improper Turn,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D52,77,Waterfront Communities-The Island (77),12042,77
-8837686.1,5411106.138,80562727,6001000870,2016,2016/06/09 04:00:00+00,837,8,ADELAIDE ST W,JOHN ST,<Null>,Major Arterial,Toronto and East York,10,52,43.647845,-79.390285,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,35 to 39,Major,<Null>,East,Bicycle,Going Ahead,<Null>,<Null>,<Null>,<Null>,<Null>,Motorist turning right on green or amber at signalized intersection strikes cyclist.,Driving Properly,Normal,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D52,77,Waterfront Communities-The Island (77),12043,77
