X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId,VEHICLES_IN_STREET
-8840968.578,5408425.213,80244398,5001176666,2015,2015/07/12 04:00:00+00,2354,23,LAKE SHORE BLVD W,ONTARIO DR,73 m West of,Major Arterial,Toronto and East York,10,14,43.630416,-79.419772,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Truck Driver,20 to 24,None,<Null>,North,Truck (other),Turning Left,Driving Properly,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D14,82,Niagara (82),11018,82
-8840968.578,5408425.213,80244399,5001176666,2015,2015/07/12 04:00:00+00,2354,23,LAKE SHORE BLVD W,ONTARIO DR,73 m West of,Major Arterial,Toronto and East York,10,14,43.630416,-79.419772,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,20 to 24,Major,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D14,82,Niagara (82),11019,82
-8838146.406,5423091.75,80143413,5001196464,2015,2015/07/14 04:00:00+00,2137,21,BUCKINGHAM AVE,DINNICK CRES,<Null>,Local,North York,15,53,43.725703,-79.39442,Intersection,<Null>,Stop Sign,Other,"Dark, artificial",Other,Fatal,Pedestrian Collisions,Driver,45 to 49,None,<Null>,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D53,103,Lawrence Park South (103),11020,103
-8838146.406,5423091.75,80197010,5001196464,2015,2015/07/14 04:00:00+00,2137,21,BUCKINGHAM AVE,DINNICK CRES,<Null>,Local,North York,15,53,43.725703,-79.39442,Intersection,<Null>,Stop Sign,Other,"Dark, artificial",Other,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,34,North,<Null>,<Null>,<Null>,<Null>,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D53,103,Lawrence Park South (103),11021,103
-8843310.963,5418781.893,80244669,5001197879,2015,2015/07/15 04:00:00+00,429,4,1500 EGLINTON AVE W,<Null>,<Null>,Major Arterial,North York,"8,12",13,43.697718,-79.440814,Mid-Block,At/Near Private Drive,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,<Null>,South,"Automobile, Station Wagon",Going Ahead,Other,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D13,108,Briar Hill-Belgravia (108),11022,108
-8843310.963,5418781.893,80244670,5001197879,2015,2015/07/15 04:00:00+00,429,4,1500 EGLINTON AVE W,<Null>,<Null>,Major Arterial,North York,"8,12",13,43.697718,-79.440814,Mid-Block,At/Near Private Drive,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,<Null>,Unknown,<Null>,<Null>,<Null>,<Null>,Pedestrian hit at private driveway,Other,Unknown,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D13,108,Briar Hill-Belgravia (108),11023,108
-8825532.572,5418025.469,80244760,5001203164,2015,2015/07/15 04:00:00+00,2030,20,DANFORTH AVE,AUGUST AVE,<Null>,Major Arterial,Scarborough,20,41,43.692805,-79.281108,Intersection,Intersection Related,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,60 to 64,None,<Null>,North,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D41,121,Oakridge (121),11024,121
-8825532.572,5418025.469,80244761,5001203164,2015,2015/07/15 04:00:00+00,2030,20,DANFORTH AVE,AUGUST AVE,<Null>,Major Arterial,Scarborough,20,41,43.692805,-79.281108,Intersection,Intersection Related,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,50 to 54,Major,<Null>,West,Motorcycle,Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D41,121,Oakridge (121),11025,121
-8825532.572,5418025.469,80244762,5001203164,2015,2015/07/15 04:00:00+00,2030,20,DANFORTH AVE,AUGUST AVE,<Null>,Major Arterial,Scarborough,20,41,43.692805,-79.281108,Intersection,Intersection Related,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,45 to 49,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D41,121,Oakridge (121),11026,121
-8825532.572,5418025.469,80244763,5001203164,2015,2015/07/15 04:00:00+00,2030,20,DANFORTH AVE,AUGUST AVE,<Null>,Major Arterial,Scarborough,20,41,43.692805,-79.281108,Intersection,Intersection Related,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,10 to 14,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D41,121,Oakridge (121),11027,121
-8827721.225,5418326.769,80244798,5001207270,2015,2015/07/16 04:00:00+00,1253,12,EASTDALE AVE,GOODWOOD PARK CRES,35 m North of,Collector,Toronto and East York,19,54,43.694762,-79.300769,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D54,61,Taylor-Massey (61),11028,61
-8827721.225,5418326.769,80244799,5001207270,2015,2015/07/16 04:00:00+00,1253,12,EASTDALE AVE,GOODWOOD PARK CRES,35 m North of,Collector,Toronto and East York,19,54,43.694762,-79.300769,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,15 to 19,Major,<Null>,West,<Null>,<Null>,<Null>,<Null>,Vehicle hits the pedestrian walking or running out from between parked vehicles at mid-block,Coming From Behind Parked Vehicle,Inattentive,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D54,61,Taylor-Massey (61),11029,61
-8827721.225,5418326.769,80244800,5001207270,2015,2015/07/16 04:00:00+00,1253,12,EASTDALE AVE,GOODWOOD PARK CRES,35 m North of,Collector,Toronto and East York,19,54,43.694762,-79.300769,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,5 to 9,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D54,61,Taylor-Massey (61),11030,61
-8827721.225,5418326.769,80244801,5001207270,2015,2015/07/16 04:00:00+00,1253,12,EASTDALE AVE,GOODWOOD PARK CRES,35 m North of,Collector,Toronto and East York,19,54,43.694762,-79.300769,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,0 to 4,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D54,61,Taylor-Massey (61),11031,61
-8827721.225,5418326.769,80244802,5001207270,2015,2015/07/16 04:00:00+00,1253,12,EASTDALE AVE,GOODWOOD PARK CRES,35 m North of,Collector,Toronto and East York,19,54,43.694762,-79.300769,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,5 to 9,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D54,61,Taylor-Massey (61),11032,61
-8827721.225,5418326.769,80244803,5001207270,2015,2015/07/16 04:00:00+00,1253,12,EASTDALE AVE,GOODWOOD PARK CRES,35 m North of,Collector,Toronto and East York,19,54,43.694762,-79.300769,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,0 to 4,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D54,61,Taylor-Massey (61),11033,61
-8839558.828,5415260.809,80244877,5001212779,2015,2015/07/17 04:00:00+00,827,8,SPADINA RD,DUPONT ST,<Null>,Major Arterial,Toronto and East York,11,"53,14",43.674845,-79.407108,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,Truck Driver,60 to 64,None,<Null>,North,Truck - Tank,Turning Right,Improper Turn,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D53,95,Annex (95),11034,95
-8839558.828,5415260.809,80244878,5001212779,2015,2015/07/17 04:00:00+00,827,8,SPADINA RD,DUPONT ST,<Null>,Major Arterial,Toronto and East York,11,"53,14",43.674845,-79.407108,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,<Null>,North,Bicycle,Stopped,<Null>,<Null>,<Null>,<Null>,<Null>,Motorist turning right on green or amber at signalized intersection strikes cyclist.,Driving Properly,Normal,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D53,95,Annex (95),11035,95
-8837504.315,5429820.752,80486872,5001213317,2015,2015/07/17 04:00:00+00,1001,10,BAYVIEW AVE,BAYVIEW MEWS LANE,<Null>,Major Arterial,North York,"18,17","33,32",43.76937,-79.388652,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,75 to 79,Major,<Null>,South,"Automobile, Station Wagon",Turning Left,Improper Turn,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D33,52,Bayview Village (52),11036,52
-8837504.315,5429820.752,80486873,5001213317,2015,2015/07/17 04:00:00+00,1001,10,BAYVIEW AVE,BAYVIEW MEWS LANE,<Null>,Major Arterial,North York,"18,17","33,32",43.76937,-79.388652,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,None,<Null>,North,Pick Up Truck,Going Ahead,Speed too Fast For Condition,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D33,52,Bayview Village (52),11037,52
-8838176.129,5432128.577,80486901,5001215897,2015,2015/07/17 04:00:00+00,1714,17,FINCH AVE E,MANORCREST DR,<Null>,Major Arterial,North York,18,32,43.784339,-79.394687,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,None,<Null>,East,"Automobile, Station Wagon",Going Ahead,Speed too Fast For Condition,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D32,50,Newtonbrook East (50),11038,50
-8838176.129,5432128.577,80486902,5001215897,2015,2015/07/17 04:00:00+00,1714,17,FINCH AVE E,MANORCREST DR,<Null>,Major Arterial,North York,18,32,43.784339,-79.394687,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,55 to 59,Major,<Null>,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D32,50,Newtonbrook East (50),11039,50
-8838176.129,5432128.577,80486903,5001215897,2015,2015/07/17 04:00:00+00,1714,17,FINCH AVE E,MANORCREST DR,<Null>,Major Arterial,North York,18,32,43.784339,-79.394687,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,unknown,None,<Null>,East,"Automobile, Station Wagon",Stopped,Driving Properly,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D32,50,Newtonbrook East (50),11040,50
-8839461.98,5434705.192,80486946,5001220959,2015,2015/07/18 04:00:00+00,1211,12,STEELES AVE E,MAXOME AVE,<Null>,Major Arterial,North York,18,32,43.801047,-79.406238,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,75 to 79,Minor,<Null>,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D32,50,Newtonbrook East (50),11041,50
-8839461.98,5434705.192,80486947,5001220959,2015,2015/07/18 04:00:00+00,1211,12,STEELES AVE E,MAXOME AVE,<Null>,Major Arterial,North York,18,32,43.801047,-79.406238,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,75 to 79,Major,<Null>,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D32,50,Newtonbrook East (50),11042,50
-8839461.98,5434705.192,80486948,5001220959,2015,2015/07/18 04:00:00+00,1211,12,STEELES AVE E,MAXOME AVE,<Null>,Major Arterial,North York,18,32,43.801047,-79.406238,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,Minor,<Null>,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D32,50,Newtonbrook East (50),11043,50
-8839461.98,5434705.192,80486949,5001220959,2015,2015/07/18 04:00:00+00,1211,12,STEELES AVE E,MAXOME AVE,<Null>,Major Arterial,North York,18,32,43.801047,-79.406238,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,10 to 14,None,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D32,50,Newtonbrook East (50),11044,50
